,score,name,rank,country,district
669,44,Memorial University of Newfoundland,65,Canada,"St. John's, NL"
670,44,Universitat de Girona,65,Spain,Girona
671,44,University of Sofia,65,Bulgaria,Sofia
672,43.9,Graz University of Technology,66,Austria,Graz
673,43.9,University of Maryland--Baltimore County,66,United States,"Baltimore, MD"
674,43.8,CUNY--City College,66,United States,"New York, NY"
675,43.7,City University London,66,United Kingdom,London
676,43.7,Mansoura University,66,Egypt,Mansoura
677,43.7,Nanjing Agricultural University,66,China,"Nanjing, Jiangsu"
678,43.7,University of Brescia,66,Italy,Brescia
679,43.6,Ain Shams University,66,Egypt,Cairo
680,43.6,University of California--Merced,66,United States,"Merced, CA"
681,43.5,Clemson University,66,United States,"Clemson, SC"
682,43.5,Northumbria University,66,United Kingdom,Newcastle upon Tyne
683,43.4,Concordia University,67,Canada,"Montréal, Québec"
684,43.4,Northern Illinois University,67,United States,"DeKalb, IL"
685,43.4,Ohio University,67,United States,"Athens, OH"
686,43.4,Universite Cote d'Azur (ComUE),67,France,Nice
687,43.4,University of Arkansas,67,United States,"Fayetteville, AR"
688,43.3,Tehran University of Medical Sciences,67,Iran,Tehran
689,43.3,University of Alaska--Fairbanks,67,United States,"Fairbanks, AK"
690,43.2,Amirkabir University of Technology (AUT),67,Iran,Tehran
691,43.2,Auburn University,67,United States,"Auburn, AL"
692,43.2,Babol Noshirvani University of Technology,67,Iran,Babol
693,43.2,Utah State University,67,United States,"Logan, UT"
694,43.1,Illinois Institute of Technology,68,United States,"Chicago, IL"
695,43.1,Sejong University,68,South Korea,Seoul
696,43.1,Semmelweis University,68,Hungary,Budapest
697,43,Shenzhen University,68,China,"Shenzhen, Guangdong"
698,43,Southern University of Science & Technology,68,China,"Shenzhen, Guangdong"
699,43,University of Mannheim,68,Germany,Mannheim
700,42.9,Jordan University of Science & Technology,68,Jordan,Irbid
701,42.9,Northern Arizona University,68,United States,"Flagstaff, AZ"
702,42.9,Orebro University,68,Sweden,Orebro
703,42.9,University of Szeged,68,Hungary,Szeged
704,42.8,American University,69,United States,"Washington, DC"
705,42.8,Braunschweig University of Technology,69,Germany,Braunschweig
706,42.8,Brigham Young University--Provo,69,United States,"Provo, UT"
707,42.8,Ewha Womans University,69,South Korea,Seoul
708,42.7,University of Brighton,69,United Kingdom,Brighton
709,42.7,University of Wyoming,69,United States,"Laramie, WY"
710,42.6,Fuzhou University,69,China,"Fuzhou, Fujian"
711,42.6,INSEAD Business School,69,France,Fontainebleau
712,42.6,Nanjing University of Aeronautics and Astronautics,69,China,"Nanjing, Jiangsu"
713,42.6,Universita della Campania Vanvitelli,69,Italy,Caserta
714,42.5,Aston University,70,United Kingdom,Birmingham
715,42.5,Chonbuk National University,70,South Korea,"Jeonju, Jeollabuk"
716,42.5,Huazhong Agricultural University,70,China,"Wuhan, Hubei"
717,42.5,University of Urbino,70,Italy,Urbino
718,42.4,Istanbul University,70,Turkey,Istanbul
719,42.4,Kwame Nkrumah University Science & Technology,70,Ghana,Kumasi
720,42.4,"Rutgers, The State University of New Jersey--Newark",70,United States,"Newark, NJ"
721,42.4,Universidad Nacional de Colombia,70,Colombia,"Bogotá, DC"
722,42.3,Charles Sturt University,71,Australia,"Wagga Wagga, NSW"
723,42.3,Marche Polytechnic University,71,Italy,Ancona
